name,descriptions,rel_aesthetics,key_colors,brands
Word Cloud,,"Flat Design,Frutiger Metro,Old Web,Vectorheart",,
Writer Academia,"The Writer Academia style revolves around comfort and fashion, taking much inspiration from Dark Academia.,
,Tops,[,],Dress shirts,
,Denim jackets,
,Turtlenecks,
,Plaid shirts,
,Oxford shirts,
,Light blouses,
,Large polo necks,
,Soft, comfortable sweaters (such as knitted or wool),
,Blazers,
,Suit jackets,
,Trenchcoats,
,Overcoats    ,Bottoms,[,],Distressed jeans,
,Skirts,
,Plaid skirts,
,Dress pants,
,Plaid pants    ,Shoes,[,],Oxfords,
,Doc Martens,
,Mary Janes,Accessories,[,],Glasses,
,Silver or gold jewelry,
,Simple rings,
,Satchels,
,Belts that match your shoes,
,Watches,
,Sweaters tied over the shoulders,
,Undone or loose ties,Other,[,],Thick, comfortable socks,
,Knee-high socks,
,Reading socks,
,Wearable blankets/ponchos,
,Short, neat fingernails    ,Media,[,]","Art Academia,Classic Academia,Coffee House/Cafe,Dark Academia,Light Academia,Romantic Academia","black, brown, beige, faded colors such as grays, pinks, and blues","You Decide Who You Are (poet collection), Oodie, Moleskine"
Wormcore,,"Kidcore,Nostalgiacore,Pride flags,Trendercore,Weirdcore,Feralcore, (same emotional appeal)",Neons,
Wizardcore,"Cloaks and Capes,
,Long Robes,
,Scarfs,
,Belts with Pouches,
,Shawls,
,Boots,
,Ankle Length Skirts,
,Wizard's Hat,
,Trench Coat,Activities,[,]","Witchcore,Dark Academia,Light Academia,Chaotic Academia,Fantasy,Fantasy Astronomy,Cabincore,Naturecore,Goblincore","Black, gray, brown, dark red, purple, navy blue, green",
Wonderland,"Fashions for this aesthetic consist of comfortable clothing and clothes that could be similar to ,Cottagecore,.
,Sweaters,
,Loose jeans,
,Sweat pants,
,Crew socks,
,Sneakers,
,Pinafore dresses,
,Ankle strap shoes,
,Sweatshirts,
,Trench-coats,
,Bowties,
,Top hats,
,Knee-length dresses with pinafore aprons,
,Thigh highs/Stockings,
,Mary Jane shoes,
,Hair bows,
,Jewellery,Media,[,]","Chaotic Academia,Cottagecore,Cottagegore,Spiritcore,Weirdcore","Muted colors, Black, White, Light brown, red, blue",
Witch House,"Witch House fashion can draw upon a lot of ,Nu-Goth,, ,Streetwear,, ,Techwear,, and Vaporwave fashions (although in the case of the Vaporwave inspirations, it's done less in the bright colors often associated with it and instead uses more of a monochromatic color palette with hints of red mixed in).  Witch House fashion can also draw upon a lot of 90s ,Grunge, and ,Mallgoth, fashion choices as well.
,Music,[,]","Nu-Goth,Cyberpunk,Goth,Halloween,Health Goth,Horror,Mallgoth,Seapunk,Synthwave,Urbancore,Vaporwave,Witchcore","Black, red, white, muted colors",
Winter,,"Aesthetics,:,Icepunk,Winter Fairy Coquette,Comfy/Cozy,Seasons,:,Autumn,Spring,Summer","White, blue, gray, brown, cyan",
Wild Child,,"Adventurecore,Indie,Naturecore,Hipster,Tomboy","Green, Nature colors, sometimes with a pop of neon and rainbow",
Witchcore,"Witchy fashion is pretty noticeable upon seeing it, though there is not one uniform witches must follow. Witchy fashion utilizes a variety of darker hued, natural colors and black. Vintage wear from thrift stores or hand-me-downs are often seen in this aesthetic, as well as some ,gothic,/,goth,/,nu-goth, themes and ,hippie,/,boho, themes. When in doubt, google Stevie Nicks. Keep in mind that searching for witchy clothing on Google is not reflective of the true aesthetic, search tags on social media for more relevant examples or see the Pinterest boards and photos on this page. Examples of witchy fashion are below:
,Vintage white wedding dresses and nightgowns,
,Cloaks (usually for formal rituals),
,Black laced camisoles,
,Shawls,
,Maxi dresses and skirts,
,Wide brim hats,
,Homemade flower crowns (see ,Rookie tutorial,) that are often adorned with leftover craft materials such as pipe cleaners, alphabet beads, googly eyes, etc.,
,Comfy shoes,
,Barefeet,
,Creepers and laced boots,Interior Design,[,]","Angelcore,Bloomcore,Bubblegum Witch,Cabincore,Cottagecore,Cottagegore,Cryptidcore,Cryptid Academia,Dark Fantasy,Devilcore,Dragoncore,Goth,Gothic,Goblincore,Halloween,Hellenic,Honeycore,Horror,Medieval Fantasy,Metal,Mosscore,Naturecore,Neo-Celtic,New Age,Ravencore,Sextrance,Werewolf,Witch House,Witchy Academia",", ",
Wholesome Meme,,"Busukawaii,Cartooncore,Dank Meme Voyage,Deep Fried Meme,Grażynacore,Happycore,Kidcore,Moe Swag,Lovecore,Simp,Superflat Pop,Surreal Memer","Pink, red and other bright colours",
Woodland goth,"Often resembles dark or ghostly types of Fae, but with a punk and Goth twist. It’s also inspired by Shakespearean figures and Greek gods. 
,Skirts
,Gothic Lolita-esque skirts, usually with petticoats underneath,
,Long skirts (including tutus),
,Contrasting dark and light tones
,Jewel tones such as dark reds, deep purples, navy blues, and moss greens,
,Faded pastels (ie pale pink) and neutrals such as ivory, grey, and black,
,Faerie and Goth inspired makeup
,Dark jewel tones,
,Pink, purple, or green eyeshadows,
,Inspired by Nina Hagen,
,Light layering (such as mini dresses over long skirts),
,Tattered or handkerchief edges,
,Puffed or billowy sleeves,
,Jewelry that revolves around nature, like flowers and animals,
,Floral/fauna and brocade prints,
,Stockings or leggings (often lacy),
,Draped scarves and shawls,
,Kimonos and hooded coats,
,Winklepickers, velvet/suede platforms, and ballet flats,
,Parasols and fans,
,Netted fingerless gloves,
,Wild hair, whether teased, curled, dreadlocked, or dyed,
,Juxtaposing Punk DIY with romantic fairy-inspired looks,These outfits can otherwise be inspired by Strawberry Switchblade, Siouxsie Sioux, Danielle Dax, and Michael and Jay Aston of Gene Loves Jezebel.
,Media,[,]","Dark Fantasy,Ballet Academia,Cryptkeepercore,Cottagecore,Cottagegore,Deathrock,Fairycore,Forestpunk,Glam Rock,Goth,Goblincore,Gothic Lolita,Mori Kei,Mythpunk,Romantic Goth,Trad Goth,Fairy Tale","Jewel tones, pastels, white, black, green, brown, glitter/shimmer",
Whimsigothic,"Whimsigoth fashion draws lots of inspiration from traditionally ""witchy"" clothing and dark, saturated colors, mainly purple, emerald green, maroon. Layering and flowy fabrics are considered core elements. Patterned fabrics are also prominent.
,Tops, 
,Bell sleeve tops,
,Velvet camisoles,
,Mesh tops,
,Wrap shirts tied in front,
,knitted cardigans,Bottoms,[,],Maxi skirts,
,Wide leg trousers,
,Velvet skirts,
,Corduroy pants,
,Bell bottoms,Accessories,[,],"",kitschy,""  jewelry,
,tote bags,
,gold jewelry,
,crystals, tarot cards, pendulums (note: these are commonly used in spiritual practices and should not be treated as accessories, many people who identify with whimsigoth practice spirituality),
,shawls/capes,Media,[,]","Contempo Eclectic,Cottagecore,FantasY2K,Gothic,I-Spy,Renaissance Revival,Witchcore","Deep blues and oranges, bits of black/purple",
Wimmelbilderbuch,,"Cartooncore,Cyberspace Webrooms,Ligne Claire,Urbancore,Visual Pollution","Red, yellow, blue",
Wetcore,,"Gloomcore,Junglecore,Ocean Academia,Seapunk,Nautical,Country,Naturecore",,
Werewolf,"The goal of werewolf fashion is not to look fashionable, but to be as comfortable and functional as possible. 
,Fur,
,Wool,
,Leather,
,Flannel,
,Bones and Teeth,
,Jeans, usually ripped,
,Combat or Hiking Boots,
,Leggings,
,Knives,
,Work shoes,
,Tattered clothes,Activities,[,]","Fantasy,Caninecore,Vampire,Witchcore,Halloween,Horror,Monstercore,Zombie Apocalypse","Black, grey, blue, black, red, brown",
Western," 	, 	, 	, 		 			, 		 		 		 			,Cowboy boots with spurs, 		 	, ,Western fashion typically includes organic fabrics and warm tones. Fashion often revolved around utility and practicality for outdoor work. Leather, cowboy boots, and wide-brimmed hats mark some of the key characteristics of Western fashion. Brimmed hats were a cowboy's most important piece of clothing, as they helped keep the elements out of their eyes and face when riding or doing any other work. Cowboys often took extra care into upkeeping the quality of their hats, often owning hat brushes or taking them into town to get them reshaped or repaired. Good quality hats were often a family heirloom that could be passed down for many decades. 
,Modern rodeo fashion often includes bright colors, elaborate embroidery, and the usage of decorative rhinestones in order to distinguish different riders. 
,Tops,[,],Button-up shirts,
,Vests,
,Canvas jackets,
,Fringe jackets,
,Ponchos,
,Frock coats,
,Dusters,
,Prairie dresses,Bottoms,[,],Chaps,
,Trousers,
,Overalls,
,Denim jeans,
,Prairie skirts,Footwear,[,],Cowboy boots,
,Wellington boots,
,Dress shoes, 	, 	, 	, 		 			, 		 		 		 			,Annie Oakley in a buckskin dress, 		 	, ,Accessories,[,],Brimmed hats,
,Gloves,
,Spurs,
,Bandanas,
,Serapes,
,Bolo ties,
,Neckties,
,Belt buckles,
,Tassels,
,Lassos,
,Colorful, especially turquoise, jewelry,Fabrics/Textiles,[,],Wool,
,Cotton,
,Canvas,
,Leather,
,Denim,
,Flannel,
,Buckskin,
,Fur,
,Fringe,Activities,[,]","Americana,Cottagecore,Country,Desertwave,Prairiecore,Rusticcore","Muted tones, Browns, Red, Orange",
Weeaboo,,"Animecore,E-Boy,E-Girl, ,Erokawa,Femcel Weeaboo,Furry,Hot Topic,Itasha,Kawaii,Maidcore,Mall Ninja,Moe,Neko,Nerdcore,Larpercore,Nostalgiacore,Otherkin,Sanriocore,Tacticool,Tweencore,Wota,Yandere,Related aesthetics,Nerd",Red,
Weirdcore,,"After Hours,Bastardcore,Blingeecore,Dreamcore,Frutiger Aero,Kidcore,Feralcore,Kimoicore,Liminal Space,Nostalgiacore,Old Web,Surrealism,Vaporwave,Xpiritualism",,
Welwitschia Goth,,"Blingeecore,Mallgoth,Gothic Lolita,Morute,Catholic Horror,Cottagegore,Gurokawa,Gothic,Emo,Scene","Red, black, pink, purple",
Web Creep,,"Cryptidcore,CyberneticPunk,Cyberpunk,Hackercore",,
Weathercore,,"Nostalgiacore,Vaporwave",,
Warmcore,"Warmcore fashion consists of flowy dresses, floral prints, blouses, comfy and, ,obviously,, warm clothes. Summery outfits fit into this aesthetic as well. Fashion inspiration is similar to ,Cottagecore, and ,Grandparentcore,.
,Stores,[,],Cottagecore Aesthetic,Music,[,]","Bloomcore,Cottagecore,Ethereal,Dreamy,Heatwave,Naturecore","Soft/pale yellows, warm white, very light greys",
Wanderlust,"Due to the luxurious and vacational nature of the aesthetic, Wanderlust fashion is based on Resort and traditional vacation fashion trends. Some common elements of Wanderlust fashion include:
,Vacation/Resort wear,
,Lace skirts and dresses,
,White dresses,
,Silky clothing,
,Pearls,
,Frills,
,Round and ruffled dresses,
,Scarves and headscarves,
,Straw hats and bags,
,Little to no accessories,
,Soft clothing, often made with linen or cotton,
,Soft colors,
,Pastel colors,
,Clothing meant to resemble local cultural fashion, but rather comes off as vacation wear,Activities,[,]","Adventurecore,Americana,Dark Paradise,Foodie,Fantasy,Northerness,Romantic Italian,Tomato Girl Summer,Vacation Dadcore,Vintage Parisian",,
Winter Academia,"(Please can someone else fill in this section? My fashion knowledge is extremely limited so I'd appreciate if someone with a bit more of an understanding of fashion took this bit up instead. Thanks! ^^),
,Media,[,]","Classic Academia,Dark Academia,Darkest Academia","White, grey, brown, tan",
Waif,"This section is under construction
,Tops,[,],Camisoles, often black or white with lace detailing,
,Slip dresses,
,Babydoll tops,
,Milkmaid-style blouses,
,Tank tops that have a grunge-y print,
,Tight-fitting cardigans typically worn with camisoles underneath,Bottoms,[,],Extremely short pleated skirts, an article of clothing often associated with ,Y2K, and Heroin Chic,
,Plaid and check mini skirts, often from Burberry and with the distinctive belt piece detail,
,Chiffon wrap skirts used in ballet practice clothing,
,Low-waisted jeans,Shoes,[,],UGG boots,
,Leather patent heels,
,Ballet flats,Outerwear,[,],Fur coats. This item of clothing is an important narrative device in ,My Year of Rest and Relaxation, and is associated with wealthy women,Accessories,[,],Crucifix necklaces,
,Visible underwear such as whale tail thongs (,Red Scare, sells some as merch) and bralettes,
,Sheer tights, mostly from Gucci with the lace interlocking Gs,
,Stockings,
,Gold jewelry with pearls,
,Leg-warmers, influenced by ballet practice clothing,
,Socks worn with heels,
,Tote bags,
,Vintage purses,
,Fur hats,Media,[,]","Nymphet,Dark Nymphet,Femcel Weeaboo,Incel,Coquette,Dollette,Lobotomy-Chic,PSY-OP Girl,Trailer Park Princess,Morute,Preppy","Black, pink, beige, white, red",
Waldorf,"Waldorf, being based off an educational system takes on a very youthful look in fashion aspects, so keep that in mind. Clothing is not usually vintage, it can be but it's not common. Think more along the lines of hippie or bohemian.
,Fabrics,[,],linens,
,wool,
,alpaca,
,cotton,
,hemp,
,fake silk,Colors,[,],Jeweltones,
,Pastels,
,Browns,
,patterned clothes,
,No monochromatic colors,
,Old fashioned floral prints,Clothing Pieces,[,],Overalls,
,Hand knitted scarves,
,Ponchos and cloaks,
,Skirts with leggings or tights,
,Short-sleeve sweaters,
,Handmade clothes of all kinds,
,Fantasy being-inspired clothing (ex. witches, wizards, and gnomes),Hats,[,],crochetted or knitted beanies,
,bucket hats,
,straw hats,
,gnome hats,Shoes,[,],rain boots,
,slippers,
,Flats,
,Mary Janes with no heels,Clothes for a more mature look,[,],Maxi skirts and dresses,
,Wavy hair,
,Long shawls,
,Shoes with a slight heel,
,Necklaces (beaded or pendant style),
,Handmade earrings,
,Beaded bracelets,
,Actual rock and crystal accents,Vendors,[,],Moonflower,Philosophy and Educational System,[,]",Cottagecore,,
Void-Meme,,"Edgy Meme,Dank Meme Voyage,Bastardcore,Feralcore,Digital Horror,Horror,Old Memecore","Red, Black, White",
Wabi-Sabi,,"Art Academia,Craftcore,Mizuiro Kaiwai",,
Vorticism,,"Aeropittura,Art Academia,Art Hoe,Modernism",Any colors,
Voidpunk,,"Traumacore,Cryptidcore,Queercore,Alien",,
Vulture Culture,,"Cottagecore,Cottagegore,Crowcore,Forestpunk,Goblincore,Naturecore,Natural Philosophy,Woodland Goth","White, Brown, Tan, Green, Black",
VSCO Preppy,"Popular clothing pieces from brands like Aviator Nation, LoveShackFancy, and Roller Rabbit can be inaccessible to the average teenage girl due to their high price, so knockoffs and dupes from stores (often of the fast fashion variety) like SheIn are popular. Hundreds of shops catering to the VSCO Preppy aesthetic popped up on Etsy during the pandemic, but many items which sellers claim to make themselves are actually purchased cheaply from Aliexpress.
,Girls generally wear:
,DRESSES AND SKIRTS:, Beachy/boho dresses/skirts with animal/floral print and/or frilly decorations like ,tassels, pompoms, and ruffles.,
,SHIRTS/TOPS:, They use cami tops, ,crop tops,, bishop sleeved shirts, lettuce edge shirts, ,baggy T-shirts, (which they pair with shorts), sweatshirts, etc. They also like wearing Lululemon tank tops and shirts for exercise, specifically the Swiftly Tech tops and the Align Tanks. 
,PANTS:, They wear ,plain jeans and, ,patterned jeans, (with hearts, stars, lightning bolts, etc. printed on to the jeans). These are matched with fancy tops or plain camis. On the casual side, Lululemon leggings in all colors are also popular. They also wear ,sweatpants, mainly from brands like Aviator Nation and Free City., For people who go to summer camps, hard tail shorts are also popular. 
,HOODIES/SWEATERS:,  They use hoodies with smiley faces, lightning bolts etc. Hoodies from Aviator Nation, MadHappy, and Urban Outfitters are very popular. The colors of ,the hoodie, tend to be white, hot pink, cyan/teal and sometimes black or navy.  
,SHOES/HEELS:,  They almost always wear ,Nike Air Forces,, Steve Madden sandals and ,Golden Goose shoes,, but on more casual occasions, they like Birkenstocks.
,BAGS:,  They almost always use Louis Vuitton, Gucci, or Marc Jacobs Bags, including the Marc jacobs tote, camera bag, Louis Vuitton Alma Bag, and the Louis Vuitton Neverfull Bag. They also use Chanel Bags, but that is more rare. For travel, Stoney Clover Lane pouches are popular with patches. Lululemon belt bags are also extremely popular among preppies, typically in black or white and occasionally in hot pink.
,JEWELRY:, They wear gold necklaces with lightning bolts and hearts, bracelets such as ,charm bracelets, with the Evil Eye on them and they also wear ,anklets,. Sometimes, they make their own jewelry with clay disc beads. They also like Tiffany and Co. jewelry, or other luxury brands such as Cartier.
,GLASSES:, They sometimes use plastic ,heart shaped glasses, mostly in the shade of pink or hot pink.  They also use sunglasses frequently from various
,high end brand such as Ray Bans.
,PAJAMAS:, Roller Rabbit prints are the most popular, like monkeys, Hathi elephants, heart prints, and more. Another popular brand that emerged with the community is Eberjey and PJ Salvage. 
,VSCO Preppy ,is not, to be confused with ,Softies,.  ,There is no section for the male counterpart because they are not as popular and are rare to find,, so not much is known about them.,
,Food,[,]","VSCO,Preppy,Common White Girl,beach girl","Azalea, Cyan, Beachy Tones, White, Red, Tangerine, Bright Pink, Sunny Yellow","Roller Rabbit, Starfit, Aviator Nation, LoveShackFancy, Stoney Clover Lane, Louis Vuitton"
